video_id,video_title,author_display_name,author_channel_id,author_channel_url,author_profile_image_url,comment_text_display,comment_text_original,reply_count,can_rate,viewer_rating,like_count,published_at,updated_at
OMV9F9zB4KU,รถไฟฟ้าจีนก็มีดีนะ !!ลองขับจริง BYD ATTO 3 นุ่ม-แรง-หนึบ option ดี นั่งสบาย ลุ้นแค่บริการหลังการขาย,@SomSakuldee,UCp-YxQCcv9rd4QPdkxdJGwA,http://www.youtube.com/@SomSakuldee,https://yt3.ggpht.com/ytc/AIdro_mJWnsy-4D0HHK7e70lAjKZZtXkBBcCBOJGArgGB83flQAgJc3mP46709hKr12KPbfx0A=s48-c-k-c0x00ffffff-no-rj,"เราจองแล้วรอเลขทะเบียนนานมาก ขอไปขนส่งทุกวันจ่ายค่าจองเลขทะเบียนไปแต่ใส่เลขไม่ได้เซลหลอกให้รอไปเรื่อยๆตามทุกสัปดาห์ 

เมื่อวานยังถามเซลอยู่เลย จู่ๆวันนี้เลขทะเบียนรถได้แล้ว งงมาก  ได้เลขแบบห่วย
แล้วเลขที่พี่จองไว้หล่ะ ได้แต่หนูไม่ทราบจริงๆค่ะ ขออภัยในความไม่สะดวก","เราจองแล้วรอเลขทะเบียนนานมาก ขอไปขนส่งทุกวันจ่ายค่าจองเลขทะเบียนไปแต่ใส่เลขไม่ได้เซลหลอกให้รอไปเรื่อยๆตามทุกสัปดาห์ 

เมื่อวานยังถามเซลอยู่เลย จู่ๆวันนี้เลขทะเบียนรถได้แล้ว งงมาก  ได้เลขแบบห่วย
แล้วเลขที่พี่จองไว้หล่ะ ได้แต่หนูไม่ทราบจริงๆค่ะ ขออภัยในความไม่สะดวก",0,True,none,3,2023-06-02T06:46:43Z,2023-06-02T06:46:43Z
OMV9F9zB4KU,รถไฟฟ้าจีนก็มีดีนะ !!ลองขับจริง BYD ATTO 3 นุ่ม-แรง-หนึบ option ดี นั่งสบาย ลุ้นแค่บริการหลังการขาย,@SarojBoon,UCctlMFgzSqRqjhWlel3gl8Q,http://www.youtube.com/@SarojBoon,https://yt3.ggpht.com/ytc/AIdro_llUATJEA43cAd-md6iLR-HJltWDznK4coFS0ErzR5OY_ix=s48-c-k-c0x00ffffff-no-rj,อย่าหนีแบบ เชฟฯเมกาน้ะจ้ะ.เลยแหยงๆเลย รถเจ็ก..รอให้ชัวร์ก่อนเพื่อนว่ามา,อย่าหนีแบบ เชฟฯเมกาน้ะจ้ะ.เลยแหยงๆเลย รถเจ็ก..รอให้ชัวร์ก่อนเพื่อนว่ามา,0,True,none,1,2023-05-30T12:48:31Z,2023-05-30T12:48:31Z
OMV9F9zB4KU,รถไฟฟ้าจีนก็มีดีนะ !!ลองขับจริง BYD ATTO 3 นุ่ม-แรง-หนึบ option ดี นั่งสบาย ลุ้นแค่บริการหลังการขาย,@palmwoii,UCUsnngBjUK1n5CYLVPTiSuA,http://www.youtube.com/@palmwoii,https://yt3.ggpht.com/ytc/AIdro_lPkLZBkDzNKG25M1gF47aiajrIRpY3UOpJbRBz9Y4=s48-c-k-c0x00ffffff-no-rj,เหมือนนั่งฟังผู้ใหญ่ที่บ้านรีวิวรถให้ฟัง 555 รถน่าโดนมากครับ,เหมือนนั่งฟังผู้ใหญ่ที่บ้านรีวิวรถให้ฟัง 555 รถน่าโดนมากครับ,0,True,none,1,2023-05-30T03:21:56Z,2023-05-30T03:21:56Z
OMV9F9zB4KU,รถไฟฟ้าจีนก็มีดีนะ !!ลองขับจริง BYD ATTO 3 นุ่ม-แรง-หนึบ option ดี นั่งสบาย ลุ้นแค่บริการหลังการขาย,@maryrin509,UCcbo5ctUmYNnI5TI_SXIvSw,http://www.youtube.com/@maryrin509,https://yt3.ggpht.com/ytc/AIdro_lU8ugaLf7AcvpJOQ06AEQplYLdNZ6NWTsw9WUKEX9Q8u8=s48-c-k-c0x00ffffff-no-rj,ปุ่มกดบริเวณเกียร์ มีสำหรับล็อคกันเด็กๆซนมากดเล่น ประมาณแบบ child lock เหมือนเครื่องซักผ้ามั้ยคะ กลัวว่าถ้าอุ้มเด็กน้อย จะซนไปกดเล่นตรงปุ่มบริเวณนั้นค่ะ,ปุ่มกดบริเวณเกียร์ มีสำหรับล็อคกันเด็กๆซนมากดเล่น ประมาณแบบ child lock เหมือนเครื่องซักผ้ามั้ยคะ กลัวว่าถ้าอุ้มเด็กน้อย จะซนไปกดเล่นตรงปุ่มบริเวณนั้นค่ะ,1,True,none,0,2023-05-28T16:02:19Z,2023-05-28T16:04:25Z
OMV9F9zB4KU,รถไฟฟ้าจีนก็มีดีนะ !!ลองขับจริง BYD ATTO 3 นุ่ม-แรง-หนึบ option ดี นั่งสบาย ลุ้นแค่บริการหลังการขาย,@maryrin509,UCcbo5ctUmYNnI5TI_SXIvSw,http://www.youtube.com/@maryrin509,https://yt3.ggpht.com/ytc/AIdro_lU8ugaLf7AcvpJOQ06AEQplYLdNZ6NWTsw9WUKEX9Q8u8=s48-c-k-c0x00ffffff-no-rj,ยางรถ EV ใช้ชนิดที่เหมือนกันกับยางรถยนต์ที่ใช้น้ำมันปกติมั้ยคะ,ยางรถ EV ใช้ชนิดที่เหมือนกันกับยางรถยนต์ที่ใช้น้ำมันปกติมั้ยคะ,1,True,none,1,2023-05-28T15:36:45Z,2023-05-28T15:36:45Z
OMV9F9zB4KU,รถไฟฟ้าจีนก็มีดีนะ !!ลองขับจริง BYD ATTO 3 นุ่ม-แรง-หนึบ option ดี นั่งสบาย ลุ้นแค่บริการหลังการขาย,@ว่าไง..วัยรุ่น,UCoYXFkzRUU0CcbJk8j_NDnw,http://www.youtube.com/@%E0%B8%A7%E0%B9%88%E0%B8%B2%E0%B9%84%E0%B8%87..%E0%B8%A7%E0%B8%B1%E0%B8%A2%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99,https://yt3.ggpht.com/ME5S21efCClZLfYXIeIxmixbj5ZqvBNz-Ze0faGshYFlq8oCpdSoQvpNBEB2McOoeWDJANE=s48-c-k-c0x00ffffff-no-rj,เอาฟิงน้ำหุ้มหัวไมค์กันเสียงลม,เอาฟิงน้ำหุ้มหัวไมค์กันเสียงลม,0,True,none,0,2023-05-26T08:58:38Z,2023-05-26T08:58:38Z
OMV9F9zB4KU,รถไฟฟ้าจีนก็มีดีนะ !!ลองขับจริง BYD ATTO 3 นุ่ม-แรง-หนึบ option ดี นั่งสบาย ลุ้นแค่บริการหลังการขาย,@ศุภณัฐบัวแยง,UCqVst1X6iJPaeLvvnVk9SGg,http://www.youtube.com/@%E0%B8%A8%E0%B8%B8%E0%B8%A0%E0%B8%93%E0%B8%B1%E0%B8%90%E0%B8%9A%E0%B8%B1%E0%B8%A7%E0%B9%81%E0%B8%A2%E0%B8%87,https://yt3.ggpht.com/ytc/AIdro_lBqPxQD0jiY0RnOz6xzcJyvlCq0EUicc0jKO8iHvg=s48-c-k-c0x00ffffff-no-rj,ดีมากคับ คิดถูกแล้วที่เลือกมาสด้า,ดีมากคับ คิดถูกแล้วที่เลือกมาสด้า,0,True,none,0,2023-05-26T07:59:22Z,2023-05-26T07:59:22Z
OMV9F9zB4KU,รถไฟฟ้าจีนก็มีดีนะ !!ลองขับจริง BYD ATTO 3 นุ่ม-แรง-หนึบ option ดี นั่งสบาย ลุ้นแค่บริการหลังการขาย,@ทวีคูณ-ค5ส,UCcgpv9Yn6bsNl4iAw3ZC5ag,http://www.youtube.com/@%E0%B8%97%E0%B8%A7%E0%B8%B5%E0%B8%84%E0%B8%B9%E0%B8%93-%E0%B8%845%E0%B8%AA,https://yt3.ggpht.com/ytc/AIdro_l1Ei_UOn3gRmgfSr7yz9KSSKyCjd8q_rgy03IhZBNtW-WLHx4=s48-c-k-c0x00ffffff-no-rj,เคยซื้อของเล่นจีน ที่สำเพ็งกากจริงๆ เลยเข็ดขี้ เลิกซื้อของใช้ผลิตจากจีนตั้งแต่ตอนนั้น อยากได้รถไฟฟ้ากลัวของจีนหันไปเทสล่ารอไม่ไหวเขาให้รอนานเกินเลยหันไปค่ายญี่ปุ่น civic ไฮริด เจ๋งจริงประหยัดจริง 21 ถึง 22 กิโลลิตร แถมเวลาขายต่อไม่ต้องไปชั่งกิโลขาย,เคยซื้อของเล่นจีน ที่สำเพ็งกากจริงๆ เลยเข็ดขี้ เลิกซื้อของใช้ผลิตจากจีนตั้งแต่ตอนนั้น อยากได้รถไฟฟ้ากลัวของจีนหันไปเทสล่ารอไม่ไหวเขาให้รอนานเกินเลยหันไปค่ายญี่ปุ่น civic ไฮริด เจ๋งจริงประหยัดจริง 21 ถึง 22 กิโลลิตร แถมเวลาขายต่อไม่ต้องไปชั่งกิโลขาย,2,True,none,2,2023-05-25T02:15:35Z,2023-05-25T02:17:21Z
OMV9F9zB4KU,รถไฟฟ้าจีนก็มีดีนะ !!ลองขับจริง BYD ATTO 3 นุ่ม-แรง-หนึบ option ดี นั่งสบาย ลุ้นแค่บริการหลังการขาย,@amgizngat656,UCH98QoBOaVXKTf3qcE1G_KQ,http://www.youtube.com/@amgizngat656,https://yt3.ggpht.com/ytc/AIdro_niVCve-s1YcWoLbjKKxlieffrijtXPcCvYN4QKyo7xNkM=s48-c-k-c0x00ffffff-no-rj,เห็นขับกันเยอะมากแล้วล่ะ ถ้าไฟฟ้าล้วน คิดว่าน่าจะเห็นเยอะกว่า MG และ GWM ที่มาทำตลาดก่อนด้วยซ้ำ,เห็นขับกันเยอะมากแล้วล่ะ ถ้าไฟฟ้าล้วน คิดว่าน่าจะเห็นเยอะกว่า MG และ GWM ที่มาทำตลาดก่อนด้วยซ้ำ,0,True,none,2,2023-05-23T04:50:48Z,2023-05-23T04:50:48Z
OMV9F9zB4KU,รถไฟฟ้าจีนก็มีดีนะ !!ลองขับจริง BYD ATTO 3 นุ่ม-แรง-หนึบ option ดี นั่งสบาย ลุ้นแค่บริการหลังการขาย,@wachirasaelai8338,UCvaYMZDzyx7ue9nVLJ6sKcw,http://www.youtube.com/@wachirasaelai8338,https://yt3.ggpht.com/ytc/AIdro_l-zQUf8ppI-iaJQP13U3wKRLdfUrLhz88WutJR2Xni3XQ=s48-c-k-c0x00ffffff-no-rj,อยากให้ทำรุ่นราคาเริ่มต้น6เเสนครับ ไม่รุ้จะสามารถทำได้มั้ยนะ,อยากให้ทำรุ่นราคาเริ่มต้น6เเสนครับ ไม่รุ้จะสามารถทำได้มั้ยนะ,0,True,none,3,2023-05-18T13:23:50Z,2023-05-18T13:23:50Z
OMV9F9zB4KU,รถไฟฟ้าจีนก็มีดีนะ !!ลองขับจริง BYD ATTO 3 นุ่ม-แรง-หนึบ option ดี นั่งสบาย ลุ้นแค่บริการหลังการขาย,@bestav,UCwtBiYHQZ2zj9xiv6RO0-Xw,http://www.youtube.com/@bestav,https://yt3.ggpht.com/Be_nmGKtRmkgmTDXb_djiMG8Um8jShZHogMzIGtEXTilJ1qOmU9Tukufe7ihBidhfDdmxyEhqw=s48-c-k-c0x00ffffff-no-rj,ขับดีครับ,ขับดีครับ,0,True,none,1,2023-05-17T14:57:26Z,2023-05-17T14:57:26Z
OMV9F9zB4KU,รถไฟฟ้าจีนก็มีดีนะ !!ลองขับจริง BYD ATTO 3 นุ่ม-แรง-หนึบ option ดี นั่งสบาย ลุ้นแค่บริการหลังการขาย,@ขิงเขียวเข้าครัว,UC0m3qlnlLUb4Wvyt2Vi6KoA,http://www.youtube.com/@%E0%B8%82%E0%B8%B4%E0%B8%87%E0%B9%80%E0%B8%82%E0%B8%B5%E0%B8%A2%E0%B8%A7%E0%B9%80%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7,https://yt3.ggpht.com/ytc/AIdro_kh4dKi79eKzCfmHz1qOJx75Hv2BcwAAGqJ6-_vfLtih_E=s48-c-k-c0x00ffffff-no-rj,รู้สึกว่า BYD ช่วยกันออกแบบให้ Toyota รุ่น bZ4X ด้วยแต่ไม่รู้ออกแบบส่วนไหนของ Toyota รอผู้รู้มาช่วยตอบ,รู้สึกว่า BYD ช่วยกันออกแบบให้ Toyota รุ่น bZ4X ด้วยแต่ไม่รู้ออกแบบส่วนไหนของ Toyota รอผู้รู้มาช่วยตอบ,1,True,none,2,2023-05-12T12:05:31Z,2023-05-12T12:05:31Z
